เก่า,ใหม่,2.19
หลักแหลม,ฉลาด,8.44
ยาก,ยาก,10
สุข,ร่าเริง,6.67
ยาก,ง่าย,2.29
ด่วน,รวดเร็ว,7.19
สุข,ยินดี,5.31
สั้น,ยาว,2.4
เซ่อ,ทึ่ม,7.19
พิกล,แปลกประหลาด,7.6
กว้าง,แคบ,2.29
แย่,ห่วย,8.54
ง่าย,ยาก,2.19
เลว,แย่,6.77
ยาก,ง่าย,1.98
หลักแหลม,ทึ่ม,1.98
วิกลจริต,บ้า,8.65
สุข,บ้าคลั่ง,0.73
ใหญ่,ใหญ่,10
ยาก,ยาก,10
ใหม่,สด,7.4
แหลม,ทื่อ,1.67
เร็ว,ว่องไว,8.54
ทึ่ม,โง่,8.44
มหัศจรรย์,เป็นเลิศ,3.65
แปลก,แปลก,9.9
สุข,โกรธ,1.67
แคบ,กว้าง,2.19
เรียบ,ง่าย,4.17
เก่า,สด,1.25
ชัดเจน,ชัดเจน,10
ไม่แพง,ย่อมเยา,8.54
ดี,ใจกว้าง,3.33
ประหลาด,ปกติ,1.35
ประหลาด,แปลก,7.81
เลว,ชั่ว,8.23
เศร้า,สนุกสนาน,2.08
มหัศจรรย์,ยอดเยี่ยม,6.04
รู้สึกผิด,ละอาย,7.92
งดงาม,มหัศจรรย์,4.38
มั่นใจ,แน่ใจ,8.85
ทึ่ม,หัวทึบ,7.81
กว้าง,ใหญ่,7.5
ดี,โหดร้าย,1.46
ใจร้อน,กระวนกระวาย,4.48
ใหญ่,กว้าง,6.98
แข็งแรง,ภูมิใจ,0.42
ไม่จำเป็น,จำเป็น,1.98
กระสับกระส่าย,อ่อนวัย,0.21
ทึ่ม,ฉลาด,1.88
เลว,ยอดเยี่ยม,0.73
ยาก,ง่าย,1.98
จำเป็น,สำคัญ,8.44
ชั่วร้าย,เป็นเลิศ,0.21
บ้า,ยินดี,0.42
ซื่อสัตย์,รู้สึกผิด,0.94
ง่าย,ยาก,1.77
ง่าย,ยืดหยุ่น,1.25
แน่นอน,แน่นอน,9.9
จำเป็น,จำเป็น,9.9
แตกต่าง,ปกติ,1.15
เจ้าเล่ห์,ฉลาด,5.1
สำคัญมาก,สำคัญ,8.85
รุนแรง,โหดร้าย,5.73
ใสซื่อ,โง่,3.23
